Params,Random,Laplace,Ours,Non-private,BatchNon-private,BatchPriv,RandomEB,LaplaceEB,OursEB,Non-privateEB,BatchNon-privateEB,BatchPrivEB
K-0.01 Espilon-0.1 Theta-0.2,157459.8535,97961.53146,83048.11009,38473.67295,21030.00461,35699.93194,48460.18099,24689.09626,22766.79246,0,0,3740.748318
K-0.02 Espilon-0.1 Theta-0.2,109226.7781,70477.34642,60540.98958,22165.90478,16249.41548,29858.50743,34080.16422,22767.3833,11777.13804,0,0,2569.932291
K-0.03 Espilon-0.1 Theta-0.2,92106.94958,58730.05765,54663.17971,21841.109,14720.22068,28484.04041,30901.88676,15276.17734,9650.853059,0,0,2216.554466
K-0.04 Espilon-0.1 Theta-0.2,84608.85424,53325.79643,49244.24779,20764.76652,14191.47927,27115.91759,21383.65566,15260.51889,9791.437559,0,0,2632.113379
K-0.05 Espilon-0.1 Theta-0.2,79723.95976,55844.67253,47528.32727,20764.24074,13979.50676,26845.89297,25973.55628,15587.21029,8809.855197,0,0,2315.33081
K-0.01 Espilon-1.0 Theta-0.2,157459.8535,94780.07306,75459.08013,38473.67295,21030.00461,21695.04338,48460.18099,27342.19426,20197.86917,0,0,588.2699036
K-0.02 Espilon-1.0 Theta-0.2,109226.7781,66453.26167,58134.24303,22165.90478,16249.41548,19045.81287,34080.16422,20016.69177,9152.95949,0,0,507.881787
K-0.03 Espilon-1.0 Theta-0.2,92106.94958,58599.8528,50756.51382,17879.10469,14720.22068,18488.07704,30901.88676,13896.72826,7632.383198,0,0,551.5175873
K-0.04 Espilon-1.0 Theta-0.2,84608.85424,47690.00653,46033.36509,15656.17009,14191.47927,17769.75902,21383.65566,11393.79743,8110.088126,0,0,617.8829117
K-0.05 Espilon-1.0 Theta-0.2,79723.95976,54125.89932,41219.95702,14608.30742,13979.50676,17510.46183,25973.55628,16108.76576,9164.829723,0,0,671.080991
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
