Params,Random,Laplace,Ours,Non-private,RandomEB,LaplaceEB,OursEB,Non-privateEB
K-0.01 Espilon-0.1 Theta-0.2,16838.54714,7930.648379,6368.92841,1670.731596,7264.830498,3447.892347,2369.908904,0
K-0.02 Espilon-0.1 Theta-0.2,12295.21285,6828.901542,4362.768507,1660.90688,5479.693263,2315.915903,1229.668429,0
K-0.03 Espilon-0.1 Theta-0.2,10037.60391,5322.75941,3851.551599,1657.803559,4415.078759,2093.643992,1164.212373,0
K-0.04 Espilon-0.1 Theta-0.2,8785.282771,4768.545457,3180.78276,1647.4772,3362.56353,1425.200659,949.089556,0
K-0.05 Espilon-0.1 Theta-0.2,7556.917387,4625.181282,3373.175789,1635.75101,2607.253039,1971.30358,1103.177944,0
K-0.01 Espilon-1.0 Theta-0.2,16838.54714,7034.180966,6168.08267,1498.087455,7264.830498,3286.067562,2834.266746,0
K-0.02 Espilon-1.0 Theta-0.2,12295.21285,6420.292665,4023.586052,1429.98308,5479.693263,2340.901292,1186.783529,0
K-0.03 Espilon-1.0 Theta-0.2,10037.60391,5199.820192,3606.769335,1426.610396,4415.078759,2180.421773,870.2398407,0
K-0.04 Espilon-1.0 Theta-0.2,8785.282771,4869.899075,2998.344928,1418.314437,3362.56353,1384.216711,701.967803,0
K-0.05 Espilon-1.0 Theta-0.2,7556.917387,4356.87606,2806.264004,1417.965914,2607.253039,1627.862475,687.6641743,0
